id,OBJECTID,Shape_Leng,Shape_Area,A1C_BPS,A1N_BPS,A2C_BPS,A2N_BPS,A1C_SIAK,A1N_SIAK,A2C_SIAK,A2N_SIAK,YEAR,Type,Hectares,A2TEXT,SquareKM,latitude,longitude,provinsi_clean,Provinsi_x,2022_x,2023_x,Ketahanan Bangunan.csv.xl,Tembok,Plesteran Anyaman Bambu/Kawat,Kayu/Papan,Anyaman Bambu,Batang Kayu,Bambu,Lainnya,Listrik,Gas,Minyak Tanah,Kayu Bakar,Briket/Arang/Lainnya,Tidak Memasak,Milik Sendiri,Kontrak/Sewa,Bebas Sewa,Dinas,Pengeluaran Bahan Bakar.c,Listrik PLN,Listrik Non-PLN,Bukan Listrik,Sewa/Kontrak Rumah,Pemeliharaan dan Perbaikan Ringan,Air,Bahan Bakar,Kebutuhan Lainnya untuk Rumah,SHM atas Nama ART,SHM Bukan atas Nama ART dengan Perjanjian,SHM Bukan atas Nama ART tanpa Perjanjian,Air Kemasan Bermerk,Air Isi Ulang,Leding,Sumur Bor/Pompa,Sumur Terlindung,Sumur Tak Terlindung,Mata Air Terlindung,Mata Air Tak Terlindung,Air Permukaan,Air Hujan,Akses Air Minum Layak.csv,Beton,Genteng,Seng,Asbes,Kayu/Sirap,Jerami/Ijuk/Daun-Daunan/Rumbia,Akses Sanitasi Layak.csv.,Pengeluaran Air.csv.xlsx,Rumah Layak Huni.csv.xlsx,Marmer/Granit,Keramik,Parket/Vinil/Karpet,Ubin/Tegel/Teraso,Semen/Bata Merah,Tanah,Pengeluaran Gas.csv.xlsx,Ada Digunakan hanya ART Sendiri,Ada Digunakan bersama ART Rumah Tangga Tertentu,Ada di MCK Komunal,Ada di MCK Umum,Ada ART Tidak Menggunakan,Tidak Ada Fasilitas,Pengeluaran Perbaikan.csv,Pengeluaran Listrik.csv.x,Pengeluaran Sewa.csv.xlsx,Fasilitas Cuci Tangan.csv,≥7.2 m2,≥10 m2,Provinsi_y,2022_y,2023_y,2024,jarak_ke_provinsi
,140,0.15112738773,0.00103184048451,18,Lampung,1812,Tulang Bawang Barat,18,Lampung,1812,Tulang Bawang Barat,2017,Kabupaten,131425.65283,1812,1323.06117,-4.424818622660224,105.09205814161643,LAMPUNG,Lampung,85.7,87.7,89.45,86.63,,11.41,1.4,,0.14,0.38,0.59,93.94,,5.34,,0.07,93.05,1.98,4.83,0.14,15952.0,99.21,0.72,0.06,0.2,0.32,0.15,1.54,0.27,67.78,5.6,6.48,3.65,21.18,2.07,15.98,39.41,10.47,4.26,2.11,0.71,0.16,84.51,0.24,87.2,4.63,7.56,,,85.44,1910.0,65.96,2.05,41.83,,1.45,50.36,1.94,12047.0,95.73,2.81,0.05,0.36,,1.04,5306.0,33581.0,2399.0,80.97,98.51,94.45,Lampung,2847.0,3184.0,2399.0,0
,141,0.0836043938406,0.00027258262415,18,Lampung,1813,Pesisir Barat,18,Lampung,1813,Pesisir Barat,2017,Kabupaten,270816.88855,1813,2726.25958,-5.382741983641269,104.20537179345924,LAMPUNG,Lampung,85.7,87.7,89.45,86.63,,11.41,1.4,,0.14,0.38,0.59,93.94,,5.34,,0.07,93.05,1.98,4.83,0.14,15952.0,99.21,0.72,0.06,0.2,0.32,0.15,1.54,0.27,67.78,5.6,6.48,3.65,21.18,2.07,15.98,39.41,10.47,4.26,2.11,0.71,0.16,84.51,0.24,87.2,4.63,7.56,,,85.44,1910.0,65.96,2.05,41.83,,1.45,50.36,1.94,12047.0,95.73,2.81,0.05,0.36,,1.04,5306.0,33581.0,2399.0,80.97,98.51,94.45,Lampung,2847.0,3184.0,2399.0,0
,142,0.0519877596759,0.00011018227054,18,Lampung,1871,Kota Bandar Lampung,18,Lampung,1871,Bandar Lampung,2017,Kota,17737.57077,1871,178.56048,-5.415381895517418,105.2669385988425,LAMPUNG,Lampung,85.7,87.7,89.45,86.63,,11.41,1.4,,0.14,0.38,0.59,93.94,,5.34,,0.07,93.05,1.98,4.83,0.14,15952.0,99.21,0.72,0.06,0.2,0.32,0.15,1.54,0.27,67.78,5.6,6.48,3.65,21.18,2.07,15.98,39.41,10.47,4.26,2.11,0.71,0.16,84.51,0.24,87.2,4.63,7.56,,,85.44,1910.0,65.96,2.05,41.83,,1.45,50.36,1.94,12047.0,95.73,2.81,0.05,0.36,,1.04,5306.0,33581.0,2399.0,80.97,98.51,94.45,Lampung,2847.0,3184.0,2399.0,0
,143,0.129510072081,0.000614319919935,18,Lampung,1872,Kota Metro,18,Lampung,1872,Metro,2017,Kota,7840.29654,1872,78.92715,-5.121824223284681,105.30644367746756,LAMPUNG,Lampung,85.7,87.7,89.45,86.63,,11.41,1.4,,0.14,0.38,0.59,93.94,,5.34,,0.07,93.05,1.98,4.83,0.14,15952.0,99.21,0.72,0.06,0.2,0.32,0.15,1.54,0.27,67.78,5.6,6.48,3.65,21.18,2.07,15.98,39.41,10.47,4.26,2.11,0.71,0.16,84.51,0.24,87.2,4.63,7.56,,,85.44,1910.0,65.96,2.05,41.83,,1.45,50.36,1.94,12047.0,95.73,2.81,0.05,0.36,,1.04,5306.0,33581.0,2399.0,80.97,98.51,94.45,Lampung,2847.0,3184.0,2399.0,0
,144,0.31986189348,0.00235681433958,18,Lampung,1888,Danau,18,Lampung,1888,Danau,2017,,2911.88848,1888,29.31369,-4.919405157341443,103.90269316395177,LAMPUNG,Lampung,85.7,87.7,89.45,86.63,,11.41,1.4,,0.14,0.38,0.59,93.94,,5.34,,0.07,93.05,1.98,4.83,0.14,15952.0,99.21,0.72,0.06,0.2,0.32,0.15,1.54,0.27,67.78,5.6,6.48,3.65,21.18,2.07,15.98,39.41,10.47,4.26,2.11,0.71,0.16,84.51,0.24,87.2,4.63,7.56,,,85.44,1910.0,65.96,2.05,41.83,,1.45,50.36,1.94,12047.0,95.73,2.81,0.05,0.36,,1.04,5306.0,33581.0,2399.0,80.97,98.51,94.45,Lampung,2847.0,3184.0,2399.0,0
,145,0.335988967606,0.00361247895412,19,Kepulauan Bangka Belitung,1901,Bangka,19,Kepulauan Bangka Belitung,1901,Bangka,2017,Kabupaten,301964.89582,1901,3039.97711,-1.9058874632590403,105.92123214732396,KEPULAUAN BANGKA BELITUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,146,0.220655720777,0.00137248703469,19,Kepulauan Bangka Belitung,1902,Belitung,19,Kepulauan Bangka Belitung,1902,Belitung,2017,Kabupaten,231748.81035,1902,2333.0675,-2.869945793123589,107.71103164508766,KEPULAUAN BANGKA BELITUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,147,0.249461645547,0.00346688279889,19,Kepulauan Bangka Belitung,1903,Bangka Barat,19,Kepulauan Bangka Belitung,1905,Bangka Barat,2017,Kabupaten,289068.08886,1903,2910.14128,-1.8908612719881248,105.4894532118837,KEPULAUAN BANGKA BELITUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,148,0.522493193615,0.00567800259324,19,Kepulauan Bangka Belitung,1904,Bangka Tengah,19,Kepulauan Bangka Belitung,1904,Bangka Tengah,2017,Kabupaten,212951.81757,1904,2143.84418,-2.430082747186666,106.24331548128409,KEPULAUAN BANGKA BELITUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,149,0.512265220486,0.00833932647889,19,Kepulauan Bangka Belitung,1905,Bangka Selatan,19,Kepulauan Bangka Belitung,1903,Bangka Selatan,2017,Kabupaten,371502.31434,1905,3740.00184,-2.7709329136881147,106.3422715564158,KEPULAUAN BANGKA BELITUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,150,0.538384285085,0.0076383162209,19,Kepulauan Bangka Belitung,1906,Belitung Timur,19,Kepulauan Bangka Belitung,1906,Belitung Timur,2017,Kabupaten,256073.87034,1906,2577.95226,-2.9071138854292737,108.05237566338394,KEPULAUAN BANGKA BELITUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,151,0.0401230293026,5.08368581101e-05,19,Kepulauan Bangka Belitung,1971,Kota Pangkal Pinang,19,Kepulauan Bangka Belitung,1971,Pangkal Pinang,2017,Kota,10473.1944,1971,105.43683,-2.1106627011939825,106.11347204257817,KEPULAUAN BANGKA BELITUNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,152,0.146512808392,0.000308099763115,21,Kepulauan Riau,2101,Karimun,21,Kepulauan Riau,2102,Karimun,2017,Kabupaten,92174.66118,2101,927.9574,0.8248069234958793,103.5309181577354,KEPULAUAN RIAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,153,0.120393373225,0.00024376072761,21,Kepulauan Riau,2102,Bintan,21,Kepulauan Riau,2101,Bintan,2017,Kabupaten,133661.98902,2102,1345.62519,1.0118816098152748,104.70326477772744,KEPULAUAN RIAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,154,0.0763785765567,0.00027859928755,21,Kepulauan Riau,2103,Natuna,21,Kepulauan Riau,2103,Natuna,2017,Kabupaten,199661.48313,2103,2010.01165,3.78591633308192,108.26479827469396,KEPULAUAN RIAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,155,0.699917639196,0.0108427059721,21,Kepulauan Riau,2104,Lingga,21,Kepulauan Riau,2104,Lingga,2017,Kabupaten,220761.3545,2104,2222.49121,-0.2245554634606522,104.5270897404966,KEPULAUAN RIAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,156,0.164044054809,0.00091924922007,21,Kepulauan Riau,2105,Kepulauan Anambas,21,Kepulauan Riau,2105,Kepulauan Anambas,2017,Kabupaten,63922.52726,2105,643.52079,3.0877655679007088,106.06522991654066,KEPULAUAN RIAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,157,0.274222431729,0.000385397590395,21,Kepulauan Riau,2171,Kota Batam,21,Kepulauan Riau,2171,B A T A M,2017,Kota,101127.46391,2171,1018.08815,0.9629040349339316,104.06368257786352,KEPULAUAN RIAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,158,0.486291788725,0.00260184469859,21,Kepulauan Riau,2172,Kota Tanjung Pinang,21,Kepulauan Riau,2172,Tanjung Pinang,2017,Kota,14831.49323,2172,149.31424,0.9202850708474918,104.48531304393364,KEPULAUAN RIAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,159,0.130127798518,9.23904062749e-05,31,DKI Jakarta,3101,Kepulauan Seribu,31,DKI Jakarta,3101,Kepulauan Seribu,2017,Kabupaten Administratif,1088.99346,3101,10.9626,-5.700152782565886,106.57935869589804,DKI JAKARTA,DKI Jakarta,45.86,46.02,45.26,97.14,0.23,2.61,,,,,0.68,97.28,0.46,,,1.55,54.44,21.3,23.08,1.18,19761.0,99.97,,,2.67,0.49,0.72,0.88,0.29,68.0,3.8,2.96,33.53,47.34,7.49,11.51,0.12,0.01,,,,,99.96,4.14,37.65,3.48,54.68,,,94.01,20235.0,39.0,3.1,89.65,0.26,3.97,1.71,,19436.0,89.51,8.87,0.31,1.12,0.02,0.17,20856.0,129262.0,49855.0,78.82,78.47,66.63,DKI Jakarta,59420.0,49559.0,49855.0,0
,160,0.0840718674883,0.00033590527548,31,DKI Jakarta,3171,Kota Jakarta Selatan,31,DKI Jakarta,3174,Jakarta Selatan,2017,Kota Administratif,14655.05609,3171,147.52645,-6.272679096723272,106.81001087226264,DKI JAKARTA,DKI Jakarta,45.86,46.02,45.26,97.14,0.23,2.61,,,,,0.68,97.28,0.46,,,1.55,54.44,21.3,23.08,1.18,19761.0,99.97,,,2.67,0.49,0.72,0.88,0.29,68.0,3.8,2.96,33.53,47.34,7.49,11.51,0.12,0.01,,,,,99.96,4.14,37.65,3.48,54.68,,,94.01,20235.0,39.0,3.1,89.65,0.26,3.97,1.71,,19436.0,89.51,8.87,0.31,1.12,0.02,0.17,20856.0,129262.0,49855.0,78.82,78.47,66.63,DKI Jakarta,59420.0,49559.0,49855.0,0
,161,0.0989179217595,0.000253369293695,31,DKI Jakarta,3172,Kota Jakarta Timur,31,DKI Jakarta,3175,Jakarta Timur,2017,Kota Administratif,18686.20631,3172,188.10647,-6.25537335975149,106.9002684266986,DKI JAKARTA,DKI Jakarta,45.86,46.02,45.26,97.14,0.23,2.61,,,,,0.68,97.28,0.46,,,1.55,54.44,21.3,23.08,1.18,19761.0,99.97,,,2.67,0.49,0.72,0.88,0.29,68.0,3.8,2.96,33.53,47.34,7.49,11.51,0.12,0.01,,,,,99.96,4.14,37.65,3.48,54.68,,,94.01,20235.0,39.0,3.1,89.65,0.26,3.97,1.71,,19436.0,89.51,8.87,0.31,1.12,0.02,0.17,20856.0,129262.0,49855.0,78.82,78.47,66.63,DKI Jakarta,59420.0,49559.0,49855.0,0
,162,0.0786292260701,0.00027275602528,31,DKI Jakarta,3173,Kota Jakarta Pusat,31,DKI Jakarta,3171,Jakarta Pusat,2017,Kota Administratif,4844.50176,3173,48.76773,-6.181230062200074,106.83507605430538,DKI JAKARTA,DKI Jakarta,45.86,46.02,45.26,97.14,0.23,2.61,,,,,0.68,97.28,0.46,,,1.55,54.44,21.3,23.08,1.18,19761.0,99.97,,,2.67,0.49,0.72,0.88,0.29,68.0,3.8,2.96,33.53,47.34,7.49,11.51,0.12,0.01,,,,,99.96,4.14,37.65,3.48,54.68,,,94.01,20235.0,39.0,3.1,89.65,0.26,3.97,1.71,,19436.0,89.51,8.87,0.31,1.12,0.02,0.17,20856.0,129262.0,49855.0,78.82,78.47,66.63,DKI Jakarta,59420.0,49559.0,49855.0,0
,163,0.105879129738,0.000365858305015,31,DKI Jakarta,3174,Kota Jakarta Barat,31,DKI Jakarta,3173,Jakarta Barat,2017,Kota Administratif,12692.44591,3174,127.77,-6.165609007923703,106.74840251328789,DKI JAKARTA,DKI Jakarta,45.86,46.02,45.26,97.14,0.23,2.61,,,,,0.68,97.28,0.46,,,1.55,54.44,21.3,23.08,1.18,19761.0,99.97,,,2.67,0.49,0.72,0.88,0.29,68.0,3.8,2.96,33.53,47.34,7.49,11.51,0.12,0.01,,,,,99.96,4.14,37.65,3.48,54.68,,,94.01,20235.0,39.0,3.1,89.65,0.26,3.97,1.71,,19436.0,89.51,8.87,0.31,1.12,0.02,0.17,20856.0,129262.0,49855.0,78.82,78.47,66.63,DKI Jakarta,59420.0,49559.0,49855.0,0
,164,0.151764153135,0.00092554466437,31,DKI Jakarta,3175,Kota Jakarta Utara,31,DKI Jakarta,3172,Jakarta Utara,2017,Kota Administratif,14187.05288,3175,142.81576,-6.129207395649956,106.86908008223146,DKI JAKARTA,DKI Jakarta,45.86,46.02,45.26,97.14,0.23,2.61,,,,,0.68,97.28,0.46,,,1.55,54.44,21.3,23.08,1.18,19761.0,99.97,,,2.67,0.49,0.72,0.88,0.29,68.0,3.8,2.96,33.53,47.34,7.49,11.51,0.12,0.01,,,,,99.96,4.14,37.65,3.48,54.68,,,94.01,20235.0,39.0,3.1,89.65,0.26,3.97,1.71,,19436.0,89.51,8.87,0.31,1.12,0.02,0.17,20856.0,129262.0,49855.0,78.82,78.47,66.63,DKI Jakarta,59420.0,49559.0,49855.0,0
,165,0.374383467127,0.00499357838609,32,Jawa Barat,3201,Bogor,32,Jawa Barat,3201,Bogor,2017,Kabupaten,303265.02377,3201,3052.82195,-6.55997941978981,106.7675307897768,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,166,0.127819519188,0.0008725873508,32,Jawa Barat,3202,Sukabumi,32,Jawa Barat,3202,Sukabumi,2017,Kabupaten,422793.37497,3202,4255.99517,-7.07618754942622,106.70730771617455,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,167,0.217310044443,0.00175489637727,32,Jawa Barat,3203,Cianjur,32,Jawa Barat,3203,Cianjur,2017,Kabupaten,364849.28959,3203,3672.70224,-7.133715972114234,107.1577635250869,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,168,0.0856157454322,0.00026330088591,32,Jawa Barat,3204,Bandung,32,Jawa Barat,3204,Bandung,2017,Kabupaten,178150.91149,3204,1793.33212,-7.099968673022156,107.61084115489376,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,169,0.384324967089,0.0046892479735,32,Jawa Barat,3205,Garut,32,Jawa Barat,3205,Garut,2017,Kabupaten,314044.56033,3205,3161.26312,-7.359556647876624,107.78886398924902,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,170,0.199177165611,0.00183121980331,32,Jawa Barat,3206,Tasikmalaya,32,Jawa Barat,3206,Tasikmalaya,2017,Kabupaten,274161.17987,3206,2759.77418,-7.496705698995024,108.14129651563697,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,172,0.0951564612479,0.000262455646995,32,Jawa Barat,3208,Kuningan,32,Jawa Barat,3208,Kuningan,2017,Kabupaten,120338.61764,3208,1211.37578,-7.00423329263941,108.56030045555096,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,173,0.0688454333901,0.000118253606825,32,Jawa Barat,3209,Cirebon,32,Jawa Barat,3209,Cirebon,2017,Kabupaten,108319.75141,3209,1090.39697,-6.74563926084672,108.55156504690378,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,174,0.146780532195,0.00076960187143,32,Jawa Barat,3210,Majalengka,32,Jawa Barat,3210,Majalengka,2017,Kabupaten,135971.49139,3210,1368.74958,-6.8158653596666285,108.2578116332808,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,175,0.0656234211613,0.000144646551545,32,Jawa Barat,3211,Sumedang,32,Jawa Barat,3211,Sumedang,2017,Kabupaten,157968.6645,3211,1590.18255,-6.825065705775693,107.98085008608668,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,176,0.0900798531328,0.0003088598096,32,Jawa Barat,3212,Indramayu,32,Jawa Barat,3212,Indramayu,2017,Kabupaten,210962.36623,3212,2123.66207,-6.448788182507655,108.16859149083888,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,177,0.130933966475,0.00063648522801,32,Jawa Barat,3213,Subang,32,Jawa Barat,3213,Subang,2017,Kabupaten,219887.19835,3213,2213.50224,-6.483036604163266,107.73224588344132,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
,178,0.0785361925972,0.00022633527246,32,Jawa Barat,3214,Purwakarta,32,Jawa Barat,3214,Purwakarta,2017,Kabupaten,100198.54863,3214,1008.64928,-6.595016266157368,107.43220953453071,JAWA BARAT,Jawa Barat,77.31,77.68,78.81,89.92,1.06,3.39,4.46,0.14,0.31,0.72,0.54,94.06,0.05,4.65,0.04,0.65,83.44,5.91,10.35,0.3,15852.0,99.9,0.09,,0.65,0.45,0.29,1.31,0.22,54.91,2.81,4.31,9.89,42.35,4.89,17.94,14.47,1.02,7.58,1.63,0.23,,94.9,3.38,79.7,1.4,15.33,0.03,0.02,75.1,5476.0,56.25,2.35,79.87,0.34,5.24,5.92,0.79,14300.0,89.82,6.99,0.47,1.35,0.08,1.28,11260.0,45880.0,10781.0,82.37,94.26,86.21,Jawa Barat,12051.0,10256.0,10781.0,0
